overallId,version,slot,slotId,abilityName,classId,description
195,2,5,176,Move Up 2,106,Move increased by 2 and jump lowered by 2
196,2,5,177,Move CRG Up,107,Increase CRG on move
197,2,5,178,Crunch,107,Can stand on panels where units are dead
198,2,5,179,HP Walk,108,Restore HP on move
199,2,5,180,Scale,108,Can scale any height on first move of each turn
200,2,5,181,Move Up 1,109,Move increased by 1
201,2,5,182,Move SKL Up,109,Increase SKL on move
202,2,5,183,Leap,110,Can leap at increased diagnol range to places where height is equal or lower
203,2,5,184,TP Walk,110,Gain TP on move
204,2,5,185,Stretch Legs,111,If move full move on a turn your jump increased by 1
205,2,5,186,Walk it Off,111,Chance to remove a negative status
206,2,4,187,Equip Wand,101,Can equip Wands
207,2,4,188,Equip Mage Robes,101,Can equip Mage Robes and Mage Hats
208,2,4,189,Equip Staffs,102,Can equip Staffs and Sticks
209,2,4,190,Equip Instrument/Deck,103,Can equip Instruments and Decks
210,2,4,191,Equip Guns,105,Can equip Guns and Pistols
211,2,4,192,Equip Clothes,105,Can equip Clothes and Hats
212,2,4,193,Equip Whip/Mace,106,Can equip Maces and Whips
213,2,4,194,Equip Swords,107,Can equip Swords/Greatswords/Katanas
214,2,4,195,Equip Heavy Armors,108,Can equip Heavy Armor and Helmets
215,2,4,196,Equip Shield,108,Can equip Shields
216,2,4,197,Equip Light Armors,109,Can equip Light Armor and Bandanas
217,2,4,198,Equip Bows,110,Can equip Bows and Longbows
218,2,4,199,Equip Scales,111,Can equip Scales
219,2,4,200,Equip Spear,109,Can equip Spears
220,2,3,201,WIS Boost,100,Chance to boost Wisdom
221,2,2,202,None,1919,
222,2,3,203,None,1919,
223,2,4,204,None,1919,
224,2,5,205,None,1919,
